"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|SE","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11290","n/e","9089","1580","n/e","n/e","n/e","n/e","1799"
"CTA|SE","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10813","n/e","9086","1545","n/e","n/e","n/e","n/e","1677"
"CTA|SE","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10271","n/e","9081","1542","n/e","n/e","n/e","n/e","1517"
"CTA|SE","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9007","n/e","9084","1532","n/e","n/e","n/e","n/e","1402"
"CTA|SE","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7273","n/e","9083","1503","n/e","n/e","n/e","n/e","1176"
"CTA|SE","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5561","n/e","9086","1484","n/e","n/e","n/e","n/e","1046"
"CTA|SE","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4572","n/e","9087","1479","n/e","n/e","n/e","n/e","899"
"CTA|SE","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4259","n/e","9089","1475","n/e","n/e","n/e","n/e","812"
"CTA|SE","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4194","n/e","9089","1458","n/e","n/e","n/e","n/e","768"
"CTA|SE","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4234","n/e","9084","1441","n/e","n/e","n/e","n/e","786"
"CTA|SE","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4463","n/e","9079","1438","n/e","n/e","n/e","n/e","863"
"CTA|SE","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","5927","n/e","9084","1464","n/e","n/e","n/e","n/e","1022"
"CTA|SE","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8543","n/e","9087","1515","n/e","n/e","n/e","n/e","1201"
"CTA|SE","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10748","n/e","9087","1520","n/e","n/e","n/e","n/e","1423"
"CTA|SE","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11386","n/e","9086","1529","n/e","n/e","n/e","n/e","1612"
"CTA|SE","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11262","n/e","9086","1540","n/e","n/e","n/e","n/e","1936"
