"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|LV","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","95","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","28"
"BZN|LV","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","96","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","13"
"BZN|LV","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","96","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","54","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","14"
"BZN|LV","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","97","n/e","n/e","458","n/e","n/e","n/e","n/e","n/e","n/e","n/e","347","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","17"
"BZN|LV","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","98","n/e","n/e","504","n/e","n/e","n/e","n/e","n/e","n/e","n/e","468","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","23"
"BZN|LV","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","98","n/e","n/e","506","n/e","n/e","n/e","n/e","n/e","n/e","n/e","804","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","20"
"BZN|LV","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","97","n/e","n/e","506","n/e","n/e","n/e","n/e","n/e","n/e","n/e","826","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","19"
"BZN|LV","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","95","n/e","n/e","506","n/e","n/e","n/e","n/e","n/e","n/e","n/e","818","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","15"
"BZN|LV","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","95","n/e","n/e","507","n/e","n/e","n/e","n/e","n/e","n/e","n/e","905","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","13"
"BZN|LV","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","95","n/e","n/e","507","n/e","n/e","n/e","n/e","n/e","n/e","n/e","889","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","11"
"BZN|LV","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","95","n/e","n/e","506","n/e","n/e","n/e","n/e","n/e","n/e","n/e","889","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","7"
"BZN|LV","03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","96","n/e","n/e","507","n/e","n/e","n/e","n/e","n/e","n/e","n/e","885","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","3"
