"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","09.12.2017 12:30 - 09.12.2017 13:00 (CET/CEST)","2035","n/e","n/e","18392","8664","0","n/e","n/e","n/e","652","","844","n/e","n/e","6145","89","n/e","1970","n/e","2362","2700"
"BZN|GB","09.12.2017 13:00 - 09.12.2017 13:30 (CET/CEST)","2036","n/e","n/e","18949","8577","0","n/e","n/e","n/e","312","","836","n/e","n/e","6133","88","n/e","1840","n/e","2533","2615"
"BZN|GB","09.12.2017 13:30 - 09.12.2017 14:00 (CET/CEST)","2032","n/e","n/e","19456","8562","0","n/e","n/e","n/e","520","","839","n/e","n/e","6123","88","n/e","1700","n/e","2286","2450"
"BZN|GB","09.12.2017 14:00 - 09.12.2017 14:30 (CET/CEST)","2038","n/e","n/e","19424","8352","0","n/e","n/e","n/e","530","","839","n/e","n/e","6112","89","n/e","1490","n/e","2256","2584"
"BZN|GB","09.12.2017 14:30 - 09.12.2017 15:00 (CET/CEST)","2040","n/e","n/e","19587","8338","0","n/e","n/e","n/e","338","","866","n/e","n/e","6111","89","n/e","1070","n/e","2239","2477"
"BZN|GB","09.12.2017 15:00 - 09.12.2017 15:30 (CET/CEST)","2039","n/e","n/e","19892","8076","0","n/e","n/e","n/e","332","","849","n/e","n/e","6097","88","n/e","661","n/e","2224","2629"
"BZN|GB","09.12.2017 15:30 - 09.12.2017 16:00 (CET/CEST)","2042","n/e","n/e","20468","8144","0","n/e","n/e","n/e","469","","851","n/e","n/e","5975","89","n/e","324","n/e","2083","2306"
"BZN|GB","09.12.2017 16:00 - 09.12.2017 16:30 (CET/CEST)","2040","n/e","n/e","20750","8460","0","n/e","n/e","n/e","402","","851","n/e","n/e","5988","89","n/e","99","n/e","2061","2219"
"BZN|GB","09.12.2017 16:30 - 09.12.2017 17:00 (CET/CEST)","2038","n/e","n/e","21271","8720","0","n/e","n/e","n/e","302","","850","n/e","n/e","5992","89","n/e","3","n/e","2030","2287"
"BZN|GB","09.12.2017 17:00 - 09.12.2017 17:30 (CET/CEST)","2045","n/e","n/e","21246","8525","0","n/e","n/e","n/e","373","","906","n/e","n/e","5987","89","n/e","4","n/e","1940","2099"
"BZN|GB","09.12.2017 17:30 - 09.12.2017 18:00 (CET/CEST)","2032","n/e","n/e","21833","8841","0","n/e","n/e","n/e","407","","907","n/e","n/e","5997","90","n/e","0","n/e","1969","2058"
"BZN|GB","09.12.2017 18:00 - 09.12.2017 18:30 (CET/CEST)","2032","n/e","n/e","22149","9148","0","n/e","n/e","n/e","516","","908","n/e","n/e","5992","89","n/e","0","n/e","2023","1896"
"BZN|GB","09.12.2017 18:30 - 09.12.2017 19:00 (CET/CEST)","2043","n/e","n/e","21874","9101","0","n/e","n/e","n/e","559","","911","n/e","n/e","5994","89","n/e","0","n/e","2048","1984"
"BZN|GB","09.12.2017 19:00 - 09.12.2017 19:30 (CET/CEST)","2034","n/e","n/e","22226","9099","0","n/e","n/e","n/e","775","","916","n/e","n/e","5987","89","n/e","0","n/e","2010","1767"
"BZN|GB","09.12.2017 19:30 - 09.12.2017 20:00 (CET/CEST)","2039","n/e","n/e","21823","8908","0","n/e","n/e","n/e","421","","908","n/e","n/e","5992","89","n/e","0","n/e","1985","1689"
"BZN|GB","09.12.2017 20:00 - 09.12.2017 20:30 (CET/CEST)","2040","n/e","n/e","21970","9046","0","n/e","n/e","n/e","368","","908","n/e","n/e","5989","89","n/e","0","n/e","2049","1420"
"BZN|GB","09.12.2017 20:30 - 09.12.2017 21:00 (CET/CEST)","2027","n/e","n/e","21521","9184","0","n/e","n/e","n/e","803","","895","n/e","n/e","5510","89","n/e","0","n/e","2040","1444"
"BZN|GB","09.12.2017 21:00 - 09.12.2017 21:30 (CET/CEST)","2039","n/e","n/e","21162","9111","0","n/e","n/e","n/e","300","","857","n/e","n/e","5518","89","n/e","0","n/e","1871","1342"
"BZN|GB","09.12.2017 21:30 - 09.12.2017 22:00 (CET/CEST)","2045","n/e","n/e","20774","9100","0","n/e","n/e","n/e","645","","830","n/e","n/e","5510","89","n/e","0","n/e","1773","1333"
"BZN|GB","09.12.2017 22:00 - 09.12.2017 22:30 (CET/CEST)","2015","n/e","n/e","20397","9029","0","n/e","n/e","n/e","308","","629","n/e","n/e","5514","89","n/e","0","n/e","1677","1293"
"BZN|GB","09.12.2017 22:30 - 09.12.2017 23:00 (CET/CEST)","2038","n/e","n/e","19400","8312","0","n/e","n/e","n/e","301","","620","n/e","n/e","5517","89","n/e","0","n/e","1651","1285"
"BZN|GB","09.12.2017 23:00 - 09.12.2017 23:30 (CET/CEST)","2032","n/e","n/e","18455","7706","0","n/e","n/e","n/e","326","","539","n/e","n/e","5496","89","n/e","0","n/e","1478","1304"
