"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IE(SEM)","15.09.2017 17:00 - 15.09.2017 17:30 (CET/CEST)","n/e","n/e","n/e","839","218","165","n/e","243","n/e","0","0","110","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1395"
"BZN|IE(SEM)","15.09.2017 17:30 - 15.09.2017 18:00 (CET/CEST)","n/e","n/e","n/e","929","242","181","n/e","250","n/e","0","0","114","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1361"
"BZN|IE(SEM)","15.09.2017 18:00 - 15.09.2017 18:30 (CET/CEST)","n/e","n/e","n/e","1076","234","247","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1298"
"BZN|IE(SEM)","15.09.2017 18:30 - 15.09.2017 19:00 (CET/CEST)","n/e","n/e","n/e","1174","236","328","n/e","248","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1387"
"BZN|IE(SEM)","15.09.2017 19:00 - 15.09.2017 19:30 (CET/CEST)","n/e","n/e","n/e","1308","244","376","n/e","250","n/e","0","0","115","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1335"
"BZN|IE(SEM)","15.09.2017 19:30 - 15.09.2017 20:00 (CET/CEST)","n/e","n/e","n/e","1305","244","414","n/e","250","n/e","0","0","129","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1231"
"BZN|IE(SEM)","15.09.2017 20:00 - 15.09.2017 20:30 (CET/CEST)","n/e","n/e","n/e","1348","231","400","n/e","247","n/e","0","0","136","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1280"
"BZN|IE(SEM)","15.09.2017 20:30 - 15.09.2017 21:00 (CET/CEST)","n/e","n/e","n/e","1457","236","410","n/e","249","n/e","0","0","152","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1186"
"BZN|IE(SEM)","15.09.2017 21:00 - 15.09.2017 21:30 (CET/CEST)","n/e","n/e","n/e","1390","349","395","n/e","244","n/e","0","0","151","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1162"
"BZN|IE(SEM)","15.09.2017 21:30 - 15.09.2017 22:00 (CET/CEST)","n/e","n/e","n/e","1358","337","388","n/e","240","n/e","0","0","149","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1136"
"BZN|IE(SEM)","15.09.2017 22:00 - 15.09.2017 22:30 (CET/CEST)","n/e","n/e","n/e","1253","216","386","n/e","240","n/e","0","0","117","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1208"
"BZN|IE(SEM)","15.09.2017 22:30 - 15.09.2017 23:00 (CET/CEST)","n/e","n/e","n/e","1226","208","360","n/e","238","n/e","0","0","115","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1194"
"BZN|IE(SEM)","15.09.2017 23:00 - 15.09.2017 23:30 (CET/CEST)","n/e","n/e","n/e","1156","235","407","n/e","248","n/e","0","0","120","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1140"
"BZN|IE(SEM)","15.09.2017 23:30 - 16.09.2017 00:00 (CET/CEST)","n/e","n/e","n/e","1138","235","408","n/e","249","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1086"
"BZN|IE(SEM)","16.09.2017 00:00 - 16.09.2017 00:30 (CET/CEST)","n/e","n/e","n/e","1144","230","399","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1043"
"BZN|IE(SEM)","16.09.2017 00:30 - 16.09.2017 01:00 (CET/CEST)","n/e","n/e","n/e","1207","255","424","n/e","251","n/e","0","0","116","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","925"
"BZN|IE(SEM)","16.09.2017 01:00 - 16.09.2017 01:30 (CET/CEST)","n/e","n/e","n/e","1158","237","411","n/e","248","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","918"
"BZN|IE(SEM)","16.09.2017 01:30 - 16.09.2017 02:00 (CET/CEST)","n/e","n/e","n/e","1148","236","410","n/e","248","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","960"
"BZN|IE(SEM)","16.09.2017 02:00 - 16.09.2017 02:30 (CET/CEST)","n/e","n/e","n/e","1127","231","399","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","971"
"BZN|IE(SEM)","16.09.2017 02:30 - 16.09.2017 03:00 (CET/CEST)","n/e","n/e","n/e","1067","232","320","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","965"
"BZN|IE(SEM)","16.09.2017 03:00 - 16.09.2017 03:30 (CET/CEST)","n/e","n/e","n/e","1043","234","327","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","901"
"BZN|IE(SEM)","16.09.2017 03:30 - 16.09.2017 04:00 (CET/CEST)","n/e","n/e","n/e","968","237","329","n/e","249","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","883"
"BZN|IE(SEM)","16.09.2017 04:00 - 16.09.2017 04:30 (CET/CEST)","n/e","n/e","n/e","961","235","326","n/e","249","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","901"
"BZN|IE(SEM)","16.09.2017 04:30 - 16.09.2017 05:00 (CET/CEST)","n/e","n/e","n/e","962","235","294","n/e","248","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","879"
"BZN|IE(SEM)","16.09.2017 05:00 - 16.09.2017 05:30 (CET/CEST)","n/e","n/e","n/e","945","244","282","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","842"
"BZN|IE(SEM)","16.09.2017 05:30 - 16.09.2017 06:00 (CET/CEST)","n/e","n/e","n/e","950","257","217","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","835"
"BZN|IE(SEM)","16.09.2017 06:00 - 16.09.2017 06:30 (CET/CEST)","n/e","n/e","n/e","973","257","209","n/e","248","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","856"
"BZN|IE(SEM)","16.09.2017 06:30 - 16.09.2017 07:00 (CET/CEST)","n/e","n/e","n/e","1005","239","306","n/e","249","n/e","0","0","113","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","836"
"BZN|IE(SEM)","16.09.2017 07:00 - 16.09.2017 07:30 (CET/CEST)","n/e","n/e","n/e","1001","267","326","n/e","248","n/e","0","0","113","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","868"
"BZN|IE(SEM)","16.09.2017 07:30 - 16.09.2017 08:00 (CET/CEST)","n/e","n/e","n/e","1010","285","370","n/e","249","n/e","0","0","113","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","847"
"BZN|IE(SEM)","16.09.2017 08:00 - 16.09.2017 08:30 (CET/CEST)","n/e","n/e","n/e","1019","298","405","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","828"
